FULL_NAME,PLAYER_ID,SEASON_ID,RANK_PG_EFF,EFF_CHANGE,TARGET,TEAM_ABBREVIATION,PLAYER_AGE,GP,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,POSITION
Ray Allen,951,1997-98,40,-8,FALSE,MIL,22,82,40.1,6.9,16,0.428,1.6,4.5,0.364,4.2,4.8,0.875,1.5,3.4,4.9,4.3,1.4,0.1,3.2,3,19.5,SG
Ray Allen,951,1998-99,48,27,FALSE,MIL,23,50,34.4,6.1,13.5,0.45,1.5,4.2,0.356,3.5,3.9,0.903,1.1,3.1,4.2,3.6,1.1,0.1,2.4,2.3,17.1,SG
Ray Allen,951,1999-00,21,2,FALSE,MIL,24,82,37.4,7.8,17.2,0.455,2.1,5,0.423,4.3,4.9,0.887,1,3.4,4.4,3.8,1.3,0.2,2.2,2.3,22.1,SG
Ray Allen,951,2000-01,19,-7,FALSE,MIL,25,82,38.2,7.7,16,0.48,2.5,5.7,0.433,4.2,4.8,0.888,1.2,4,5.2,4.6,1.5,0.2,2.5,2.3,22,SG
Ray Allen,951,2001-02,26,6,FALSE,MIL,26,69,36.6,7.7,16.6,0.462,3.3,7.7,0.434,3.1,3.6,0.873,1.2,3.3,4.5,3.9,1.3,0.3,2.3,2.3,21.8,SG
Ray Allen,951,2002-03,20,5,FALSE,TOT,27,76,37.9,7.9,17.9,0.439,2.6,7,0.377,4.2,4.5,0.916,1.2,3.8,5,4.4,1.4,0.2,2.6,2.9,22.5,SG
Ray Allen,951,2003-04,15,-13,FALSE,SEA,28,56,38.4,8,18.2,0.44,2.6,6.8,0.392,4.4,4.8,0.904,1.2,3.9,5.1,4.8,1.3,0.2,2.8,2.4,23,SG
Ray Allen,951,2004-05,28,7,FALSE,SEA,29,78,39.3,8.2,19.2,0.428,2.7,7.1,0.376,4.8,5.5,0.883,1,3.4,4.4,3.7,1.1,0.1,2.2,2.1,23.9,SG
Ray Allen,951,2005-06,21,0,FALSE,SEA,30,78,38.7,8.7,19.2,0.454,3.4,8.4,0.412,4.2,4.6,0.903,0.9,3.3,4.3,3.7,1.3,0.2,2.4,1.9,25.1,SG
Ray Allen,951,2006-07,21,-54,TRUE,SEA,31,55,40.3,9.2,21,0.438,3,8.1,0.372,5.1,5.6,0.903,1,3.5,4.5,4.1,1.5,0.2,2.8,2.1,26.4,SG
Ray Allen,951,2007-08,75,22,FALSE,BOS,32,73,35.9,6,13.5,0.445,2.5,6.2,0.398,2.9,3.2,0.907,1,2.6,3.7,3.1,0.9,0.2,1.7,2,17.4,SG
Ray Allen,951,2008-09,53,-19,FALSE,BOS,33,79,36.4,6.3,13.2,0.48,2.5,6.2,0.409,3,3.2,0.952,0.8,2.7,3.5,2.8,0.9,0.2,1.7,2,18.2,SG
Ray Allen,951,2009-10,72,9,FALSE,BOS,34,80,35.2,5.8,12.2,0.477,1.8,5,0.363,2.9,3.2,0.913,0.6,2.6,3.2,2.6,0.8,0.3,1.6,2.3,16.3,SG
Ray Allen,951,2012-13,132,-28,FALSE,MIA,37,79,25.8,3.7,8.2,0.449,1.8,4.2,0.419,1.8,2,0.886,0.5,2.2,2.7,1.7,0.8,0.2,1.3,1.6,10.9,SG
Ray Allen,951,2013-14,160,-1,FALSE,MIA,38,73,26.5,3.3,7.4,0.442,1.6,4.2,0.375,1.4,1.6,0.905,0.3,2.5,2.8,2,0.7,0.1,1.2,1.6,9.6,SG
Steve Nash,959,1997-98,130,3,FALSE,PHX,24,76,21.9,3.5,7.7,0.459,1.1,2.6,0.415,1,1.1,0.86,0.4,1.7,2.1,3.4,0.8,0.1,1.3,1.9,9.1,PG
Steve Nash,959,2000-01,43,14,FALSE,DAL,27,70,34.1,5.5,11.3,0.487,1.3,3.1,0.406,3.3,3.7,0.895,0.7,2.5,3.2,7.3,1,0.1,2.9,2.3,15.6,PG
Steve Nash,959,2001-02,29,4,FALSE,DAL,28,82,34.6,6.4,13.3,0.483,1.9,4.2,0.455,3.2,3.6,0.887,0.6,2.5,3.1,7.7,0.6,0,2.8,2,17.9,PG
